Day,Time,Metres,Julian_Day,Maxima
5/3/2018,2104,3.7,123,HH
5/4/2018,235,2.6,124,L
5/4/2018,657,3.1,124,H
5/4/2018,1439,0.7,124,LL
5/4/2018,2155,3.7,124,HH
5/5/2018,337,2.6,125,L
5/5/2018,726,2.9,125,H
5/5/2018,1517,0.8,125,LL
5/5/2018,2246,3.6,125,HH
5/6/2018,457,2.6,126,L
5/6/2018,804,2.7,126,H
5/6/2018,1559,1,126,LL
5/6/2018,2338,3.6,126,HH
5/7/2018,623,2.5,127,L
5/7/2018,906,2.6,127,H
5/7/2018,1647,1.1,127,LL
5/8/2018,29,3.6,128,HH
5/8/2018,728,2.3,128,L
5/8/2018,1044,2.4,128,H
5/8/2018,1742,1.3,128,LL
5/9/2018,115,3.5,129,HH
5/9/2018,813,2,129,L
5/9/2018,1230,2.4,129,H
5/9/2018,1845,1.5,129,LL
5/10/2018,155,3.5,130,HH
5/10/2018,849,1.8,130,L
5/10/2018,1357,2.6,130,H
5/10/2018,1948,1.6,130,LL
5/11/2018,228,3.5,131,HH
5/11/2018,923,1.5,131,LL
5/11/2018,1504,2.8,131,H
5/11/2018,2046,1.7,131,L
5/12/2018,258,3.5,132,HH
5/12/2018,957,1.3,132,LL
5/12/2018,1559,3.1,132,H
5/12/2018,2138,1.9,132,L
5/13/2018,326,3.6,133,HH
5/13/2018,1033,1,133,LL
5/13/2018,1649,3.3,133,H
5/13/2018,2225,2,133,L
5/14/2018,355,3.6,134,HH
5/14/2018,1110,0.8,134,LL
5/14/2018,1737,3.5,134,H
5/14/2018,2311,2.2,134,L
5/15/2018,427,3.7,135,HH
5/15/2018,1150,0.5,135,LL
5/15/2018,1826,3.7,135,H
5/15/2018,2356,2.3,135,L
5/16/2018,501,3.7,136,H
5/16/2018,1231,0.3,136,LL
5/16/2018,1916,3.8,136,HH
5/17/2018,45,2.5,137,L
5/17/2018,539,3.7,137,H
5/17/2018,1316,0.2,137,LL
5/17/2018,2008,3.9,137,HH
5/18/2018,139,2.6,138,L
5/18/2018,621,3.5,138,H
5/18/2018,1403,0.2,138,LL
5/18/2018,2103,3.9,138,HH
5/19/2018,244,2.6,139,L
5/19/2018,710,3.3,139,H
5/19/2018,1453,0.3,139,LL
5/19/2018,2201,3.9,139,HH
5/20/2018,359,2.6,140,L
5/20/2018,808,3.1,140,H
5/20/2018,1545,0.5,140,LL
5/20/2018,2258,3.9,140,HH
5/21/2018,521,2.4,141,L
5/21/2018,924,2.8,141,H
5/21/2018,1641,0.7,141,LL
5/21/2018,2353,3.9,141,HH
5/22/2018,635,2.1,142,L 
5/22/2018,1057,2.7,142,H
5/22/2018,1740,1,142,LL
5/23/2018,44,3.9,143,HH
5/23/2018,738,1.8,143,L
5/23/2018,1236,2.7,143,H
5/23/2018,1843,1.3,143,LL
5/24/2018,130,3.8,144,HH
5/24/2018,831,1.5,144,L
5/24/2018,1406,2.8,144,H
5/24/2018,1947,1.6,144,L
5/25/2018,211,3.7,145,HH
5/25/2018,917,1.2,145,LL
5/25/2018,1521,3,145,H
5/25/2018,2049,1.9,145,L
5/26/2018,248,3.7,146,HH
5/26/2018,959,1,146,LL
5/26/2018,1623,3.2,146,H
5/26/2018,2145,2.2,146,L
5/27/2018,321,3.6,147,HH
5/27/2018,1038,0.8,147,LL
5/27/2018,1715,3.4,147,H
5/27/2018,2235,2.4,147,L
5/28/2018,352,3.5,148,HH
5/28/2018,1115,0.7,148,LL
5/28/2018,1800,3.6,148,HH
5/28/2018,2320,2.5,148,L
5/29/2018,422,3.5,149,H
5/29/2018,1151,0.6,149,LL
5/29/2018,1842,3.7,149,HH
5/30/2018,3,2.6,150,L
5/30/2018,450,3.4,150,H
5/30/2018,1227,0.6,150,LL
5/30/2018,1923,3.8,150,HH
5/31/2018,45,2.7,151,L
5/31/2018,519,3.3,151,H
5/31/2018,1302,0.6,151,LL
5/31/2018,2003,3.8,151,HH
6/1/2018,129,2.7,152,L
6/1/2018,549,3.2,152,H
6/1/2018,1336,0.6,152,LL
6/1/2018,2044,3.8,152,HH
6/2/2018,218,2.7,153,L
6/2/2018,621,3.1,153,H
6/2/2018,1411,0.7,153,LL
6/2/2018,2126,3.8,153,HH
6/3/2018,315,2.6,154,L
6/3/2018,659,3,154,H
6/3/2018,1446,0.8,154,LL
6/3/2018,2207,3.7,154,HH
6/4/2018,420,2.5,155,L
6/4/2018,746,2.8,155,H
6/4/2018,1524,1,155,LL
6/4/2018,2248,3.7,155,HH
6/5/2018,525,2.4,156,L
6/5/2018,851,2.6,156,H
6/5/2018,1605,1.2,156,LL
6/5/2018,2327,3.7,156,HH
6/6/2018,624,2.2,157,L
6/6/2018,1020,2.5,157,H
6/6/2018,1653,1.4,157,LL
6/7/2018,5,3.6,158,HH
6/7/2018,713,1.9,158,L
6/7/2018,1159,2.5,158,H
6/7/2018,1748,1.6,158,LL
6/8/2018,40,3.6,159,HH
6/8/2018,757,1.7,159,LL
6/8/2018,1332,2.6,159,H
6/8/2018,1851,1.9,159,L
6/9/2018,115,3.6,160,HH
6/9/2018,838,1.4,160,LL
6/9/2018,1448,2.9,160,H
6/9/2018,1956,2.1,160,L
6/10/2018,150,3.6,161,HH
6/10/2018,918,1.1,161,LL
6/10/2018,1550,3.2,161,H
6/10/2018,2056,2.3,161,L
6/11/2018,226,3.7,162,HH
6/11/2018,1000,0.8,162,LL
6/11/2018,1644,3.4,162,H
6/11/2018,2152,2.5,162,L
6/12/2018,304,3.7,163,HH
6/12/2018,1044,0.5,163,LL
6/12/2018,1734,3.7,163,H
6/12/2018,2245,2.6,163,L
6/13/2018,345,3.8,164,HH
6/13/2018,1129,0.3,164,LL
6/13/2018,1823,3.8,164,H
6/13/2018,2338,2.7,164,L
6/14/2018,428,3.8,165,H
6/14/2018,1215,0.2,165,LL
6/14/2018,1912,3.9,165,HH
6/15/2018,33,2.7,166,L
6/15/2018,516,3.7,166,H
6/15/2018,1303,0.1,166,LL
6/15/2018,2000,4,166,HH
6/16/2018,132,2.7,167,L
6/16/2018,607,3.6,167,H
6/16/2018,1351,0.2,167,LL
6/16/2018,2050,4,167,HH
6/17/2018,238,2.6,168,L
6/17/2018,704,3.4,168,H
6/17/2018,1439,0.3,168,LL
6/17/2018,2139,4,168,HH
6/18/2018,347,2.4,169,L
6/18/2018,810,3.1,169,H
6/18/2018,1528,0.6,169,LL
6/18/2018,2227,4,169,HH
6/19/2018,457,2.1,170,L
6/19/2018,928,2.9,170,H
6/19/2018,1618,0.9,170,L
6/19/2018,2314,4,170,HH
6/20/2018,604,1.8,171,L
6/20/2018,1101,2.7,171,H
6/20/2018,1712,1.3,171,LL
6/20/2018,2359,3.9,171,HH
6/21/2018,704,1.5,172,L
6/21/2018,1240,2.7,172,H
6/21/2018,1811,1.7,172,LL
6/22/2018,41,3.8,173,HH
6/22/2018,759,1.2,173,LL
6/22/2018,1413,2.9,173,H
6/22/2018,1916,2.1,173,L 
6/23/2018,120,3.7,174,HH
6/23/2018,848,1,174,LL
6/23/2018,1530,3.1,174,H
6/23/2018,2023,2.4,174,L
6/24/2018,158,3.6,175,HH
6/24/2018,933,0.8,175,LL
6/24/2018,1630,3.3,175,H
6/24/2018,2126,2.6,175,L
6/25/2018,234,3.5,176,HH
6/25/2018,1015,0.7,176,LL
6/25/2018,1718,3.5,176,H
6/25/2018,2220,2.7,176,L
6/26/2018,309,3.4,177,H 
6/26/2018,1055,0.6,177,LL
6/26/2018,1758,3.7,177,HH
6/26/2018,2307,2.8,177,L
6/27/2018,343,3.4,178,H
6/27/2018,1133,0.6,178,LL
6/27/2018,1835,3.8,178,HH
6/27/2018,2349,2.8,178,L
6/28/2018,417,3.4,179,H
6/28/2018,1208,0.6,179,LL
6/28/2018,1911,3.8,179,HH
6/29/2018,30,2.8,180,L
6/29/2018,451,3.3,180,H
6/29/2018,1243,0.6,180,LL
6/29/2018,1946,3.8,180,HH
6/30/2018,111,2.7,181,L
6/30/2018,527,3.3,181,H
6/30/2018,1316,0.6,181,LL
6/30/2018,2021,3.8,181,HH
7/1/2018,156,2.7,182,L
7/1/2018,605,3.2,182,H
